,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
0,0.1,100,7,0.5,1,0,0,1,1.605263157894737,0.8406503044378884
1,0.1,100,7,0.5,1,0,0,1.05,1.605263157894737,0.8327851358985625
2,0.1,100,7,0.5,1,0,0,1.1,1.605263157894737,0.8316615403929446
3,0.1,100,7,0.5,1,0,0.025,1,1.605263157894737,0.8294143493817087
4,0.1,100,7,0.5,1,0,0.025,1.05,1.605263157894737,0.8249387985688281
5,0.1,100,7,0.5,1,0,0.025,1.1,1.605263157894737,0.8361433682756889
6,0.1,100,7,0.5,1,0,0.05,1,1.605263157894737,0.8249199673592367
7,0.1,100,7,0.5,1,0,0.05,1.05,1.605263157894737,0.8361370912058251
8,0.1,100,7,0.5,1,0,0.05,1.1,1.605263157894737,0.8361559224154165
9,0.1,100,7,0.5,1,0.025,0,1,1.605263157894737,0.8350323269097985
10,0.1,100,7,0.5,1,0.025,0,1.05,1.605263157894737,0.8282970309459544
11,0.1,100,7,0.5,1,0.025,0,1.1,1.605263157894737,0.8350197727700709
12,0.1,100,7,0.5,1,0.025,0.025,1,1.605263157894737,0.8339087314041805
13,0.1,100,7,0.5,1,0.025,0.025,1.05,1.605263157894737,0.8249325214989642
14,0.1,100,7,0.5,1,0.025,0.025,1.1,1.605263157894737,0.8361559224154165
15,0.1,100,7,0.5,1,0.025,0.05,1,1.605263157894737,0.8305504990270541
16,0.1,100,7,0.5,1,0.025,0.05,1.05,1.605263157894737,0.8305379448873266
17,0.1,100,7,0.5,1,0.025,0.05,1.1,1.605263157894737,0.8327851358985625
18,0.1,100,7,0.5,1,0.05,0,1,1.605263157894737,0.8350260498399348
19,0.1,100,7,0.5,1,0.05,0,1.05,1.605263157894737,0.8294269035214362
20,0.1,100,7,0.5,1,0.05,0,1.1,1.605263157894737,0.8406440273680246
21,0.1,100,7,0.5,1,0.05,0.025,1,1.605263157894737,0.8339275626137719
22,0.1,100,7,0.5,1,0.05,0.025,1.05,1.605263157894737,0.8282844768062269
23,0.1,100,7,0.5,1,0.05,0.025,1.1,1.605263157894737,0.8305442219571904
24,0.1,100,7,0.5,1,0.05,0.05,1,1.605263157894737,0.822666499278137
25,0.1,100,7,0.5,1,0.05,0.05,1.05,1.605263157894737,0.8350260498399348
26,0.1,100,7,0.5,1,0.05,0.05,1.1,1.605263157894737,0.8316803716025359
27,0.1,100,7,0.5,1.025,0,0,1,1.605263157894737,0.8238089259933463
28,0.1,100,7,0.5,1.025,0,0,1.05,1.605263157894737,0.8339087314041805
29,0.1,100,7,0.5,1.025,0,0,1.1,1.605263157894737,0.8327788588286987
30,0.1,100,7,0.5,1.025,0,0.025,1,1.605263157894737,0.8350260498399347
31,0.1,100,7,0.5,1.025,0,0.025,1.05,1.605263157894737,0.8406440273680246
32,0.1,100,7,0.5,1.025,0,0.025,1.1,1.605263157894737,0.8339150084740443
33,0.1,100,7,0.5,1.025,0,0.05,1,1.605263157894737,0.8271734354403365
34,0.1,100,7,0.5,1.025,0,0.05,1.05,1.605263157894737,0.8350386039796623
35,0.1,100,7,0.5,1.025,0,0.05,1.1,1.605263157894737,0.8271608813006088
