,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
0,0.99,50,5,0.5,,,,,1.605263157894737,0.7934592932019333
1,0.99,50,5,0.6,,,,,1.605263157894737,0.7755068733915008
2,0.99,50,5,0.7,,,,,1.605263157894737,0.7968928504174252
3,0.99,50,5,0.8,,,,,1.605263157894737,0.7990772707300232
4,0.99,50,5,0.9,,,,,1.605263157894737,0.8002322515849601
5,0.99,50,6,0.5,,,,,1.605263157894737,0.7923608059757705
6,0.99,50,6,0.6,,,,,1.605263157894737,0.7777854497520558
7,0.99,50,6,0.7,,,,,1.605263157894737,0.7968489109283786
8,0.99,50,6,0.8,,,,,1.605263157894737,0.7867365513778168
9,0.99,50,6,0.9,,,,,1.605263157894737,0.784514468646036
10,0.99,50,7,0.5,,,,,1.605263157894737,0.7912372104701525
11,0.99,50,7,0.6,,,,,1.605263157894737,0.782242169355345
12,0.99,50,7,0.7,,,,,1.605263157894737,0.7890025735986441
13,0.99,50,7,0.8,,,,,1.605263157894737,0.7789027681878099
14,0.99,50,7,0.9,,,,,1.605263157894737,0.7946017199171427
15,0.99,100,5,0.5,,,,,1.605263157894737,0.783390873140418
16,0.99,100,5,0.6,,,,,1.605263157894737,0.7788839369782186
17,0.99,100,5,0.7,,,,,1.605263157894737,0.8013684012303057
18,0.99,100,5,0.8,,,,,1.605263157894737,0.7912246563304249
19,0.99,100,5,0.9,,,,,1.605263157894737,0.7946017199171427
20,0.99,100,6,0.5,,,,,1.605263157894737,0.777747787332873
21,0.99,100,6,0.6,,,,,1.605263157894737,0.7676479819220388
22,0.99,100,6,0.7,,,,,1.605263157894737,0.7878475927437072
23,0.99,100,6,0.8,,,,,1.605263157894737,0.778871382838491
24,0.99,100,6,0.9,,,,,1.605263157894737,0.7890088506685079
25,0.99,100,7,0.5,,,,,1.605263157894737,0.7710375996484841
26,0.99,100,7,0.6,,,,,1.605263157894737,0.7788588286987634
27,0.99,100,7,0.7,,,,,1.605263157894737,0.7912309334002888
28,0.99,100,7,0.8,,,,,1.605263157894737,0.7800138095537004
29,0.99,100,7,0.9,,,,,1.605263157894737,0.7979536752244053
30,0.1,50,5,0.5,,,,,1.605263157894737,0.8294017952419811
31,0.1,50,5,0.6,,,,,1.605263157894737,0.8226790534178645
32,0.1,50,5,0.7,,,,,1.605263157894737,0.8248948590797816
33,0.1,50,5,0.8,,,,,1.605263157894737,0.827154604230745
34,0.1,50,5,0.9,,,,,1.605263157894737,0.8260372857949909
35,0.1,50,6,0.5,,,,,1.605263157894737,0.8338899001945892
36,0.1,50,6,0.6,,,,,1.605263157894737,0.8249325214989642
37,0.1,50,6,0.7,,,,,1.605263157894737,0.8293955181721172
38,0.1,50,6,0.8,,,,,1.605263157894737,0.8260435628648547
39,0.1,50,6,0.9,,,,,1.605263157894737,0.8338899001945892
40,0.1,50,7,0.5,,,,,1.605263157894737,0.8383842822170611
41,0.1,50,7,0.6,,,,,1.605263157894737,0.8316427091833533
42,0.1,50,7,0.7,,,,,1.605263157894737,0.833896177264453
43,0.1,50,7,0.8,,,,,1.605263157894737,0.829401795241981
44,0.1,50,7,0.9,,,,,1.605263157894737,0.8361496453455527
45,0.1,100,5,0.5,,,,,1.605263157894737,0.8249136902893729
46,0.1,100,5,0.6,,,,,1.605263157894737,0.8271608813006088
47,0.1,100,5,0.7,,,,,1.605263157894737,0.8271608813006088
48,0.1,100,5,0.8,,,,,1.605263157894737,0.827154604230745
49,0.1,100,5,0.9,,,,,1.605263157894737,0.8215554579122466
50,0.1,100,6,0.5,,,,,1.605263157894737,0.8238026489234825
51,0.1,100,6,0.6,,,,,1.605263157894737,0.8271734354403365
52,0.1,100,6,0.7,,,,,1.605263157894737,0.8282907538760906
53,0.1,100,6,0.8,,,,,1.605263157894737,0.8260561170045823
54,0.1,100,6,0.9,,,,,1.605263157894737,0.8338836231247254
55,0.1,100,7,0.5,,,,,1.605263157894737,0.8406503044378884
56,0.1,100,7,0.6,,,,,1.605263157894737,0.8294206264515724
57,0.1,100,7,0.7,,,,,1.605263157894737,0.8294269035214362
58,0.1,100,7,0.8,,,,,1.605263157894737,0.8294143493817085
59,0.1,100,7,0.9,,,,,1.605263157894737,0.8249199673592367
60,0.11,50,5,0.5,,,,,1.605263157894737,0.8282781997363631
61,0.11,50,5,0.6,,,,,1.605263157894737,0.8249199673592367
62,0.11,50,5,0.7,,,,,1.605263157894737,0.8293955181721172
63,0.11,50,5,0.8,,,,,1.605263157894737,0.8316427091833531
64,0.11,50,5,0.9,,,,,1.605263157894737,0.833896177264453
65,0.11,50,6,0.5,,,,,1.605263157894737,0.8282781997363631
66,0.11,50,6,0.6,,,,,1.605263157894737,0.8327788588286987
67,0.11,50,6,0.7,,,,,1.605263157894737,0.8350260498399348
68,0.11,50,6,0.8,,,,,1.605263157894737,0.8271797125102003
69,0.11,50,6,0.9,,,,,1.605263157894737,0.8282781997363631
70,0.11,50,7,0.5,,,,,1.605263157894737,0.8361370912058251
71,0.11,50,7,0.6,,,,,1.605263157894737,0.8260498399347185
72,0.11,50,7,0.7,,,,,1.605263157894737,0.8327600276191074
73,0.11,50,7,0.8,,,,,1.605263157894737,0.8271671583704726
74,0.11,50,7,0.9,,,,,1.605263157894737,0.8383968363567886
75,0.11,100,5,0.5,,,,,1.605263157894737,0.8170610758897746
76,0.11,100,5,0.6,,,,,1.605263157894737,0.8294143493817087
