,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
0,0.12,50,7,0.8,1,0,0,1,1.605263157894737,0.8406377502981608
1,0.12,50,7,0.8,1,0,0,1.05,1.605263157894737,0.8350134957002071
2,0.12,50,7,0.8,1,0,0,1.1,1.605263157894737,0.8383905592869249
3,0.12,50,7,0.8,1,0,0.025,1,1.605263157894737,0.8350197727700709
4,0.12,50,7,0.8,1,0,0.025,1.05,1.605263157894737,0.8361559224154165
5,0.12,50,7,0.8,1,0,0.025,1.1,1.605263157894737,0.8417738999435064
6,0.12,50,7,0.8,1,0,0.05,1,1.605263157894737,0.8395204318624067
7,0.12,50,7,0.8,1,0,0.05,1.05,1.605263157894737,0.8361496453455527
8,0.12,50,7,0.8,1,0,0.05,1.1,1.605263157894737,0.8361433682756889
9,0.12,50,7,0.8,1,0.025,0,1,1.605263157894737,0.837260686711443
10,0.12,50,7,0.8,1,0.025,0,1.05,1.605263157894737,0.8350260498399347
11,0.12,50,7,0.8,1,0.025,0,1.1,1.605263157894737,0.8395141547925429
12,0.12,50,7,0.8,1,0.025,0.025,1,1.605263157894737,0.8383842822170611
13,0.12,50,7,0.8,1,0.025,0.025,1.05,1.605263157894737,0.8350197727700709
14,0.12,50,7,0.8,1,0.025,0.025,1.1,1.605263157894737,0.8428723871696692
15,0.12,50,7,0.8,1,0.025,0.05,1,1.605263157894737,0.8361559224154165
16,0.12,50,7,0.8,1,0.025,0.05,1.05,1.605263157894737,0.8372795179210345
17,0.12,50,7,0.8,1,0.025,0.05,1.1,1.605263157894737,0.8361496453455527
18,0.12,50,7,0.8,1,0.05,0,1,1.605263157894737,0.8372669637813068
19,0.12,50,7,0.8,1,0.05,0,1.05,1.605263157894737,0.8361496453455527
20,0.12,50,7,0.8,1,0.05,0,1.1,1.605263157894737,0.840631473228297
21,0.12,50,7,0.8,1,0.05,0.025,1,1.605263157894737,0.8361559224154165
22,0.12,50,7,0.8,1,0.05,0.025,1.05,1.605263157894737,0.8327914129684263
23,0.12,50,7,0.8,1,0.05,0.025,1.1,1.605263157894737,0.8294143493817085
24,0.12,50,7,0.8,1,0.05,0.05,1,1.605263157894737,0.845125855250769
